epoch,total,physics,heat,visc,ic,bc,bc_disp,bc_flux,data,data_temp,data_disp
0,599.5401611328125,0.3896057903766632,0.3632754385471344,0.02633034810423851,291345.125,7.993842719289613e+19,7.993842719289613e+19,0.0018192850984632969,20877632.0,0.7673424482345581,20877632.0
1,315.6575622558594,0.09771013259887695,0.09110662341117859,0.00660350127145648,291399.5625,1.38681643503945e+19,1.38681643503945e+19,0.0017451128223910928,550433.6875,0.7586165070533752,550432.9375
2,326.9459533691406,0.07371339946985245,0.0687318965792656,0.0049815066158771515,291338.0625,1.5636344524358287e+18,1.5636344524358287e+18,0.0016890889964997768,3035858.25,0.7522968649864197,3035857.5
3,301.3441467285156,0.12592646479606628,0.1174163818359375,0.00851006992161274,291183.0,5.439763684555489e+17,5.439763684555489e+17,0.0016377747524529696,332081.65625,0.7476593852043152,332080.90625
4,364.64990234375,0.13587714731693268,0.12669456005096436,0.009182601235806942,290999.125,2.444852065290158e+18,2.444852065290158e+18,0.0016015341971069574,6441204.0,0.7462433576583862,6441203.5
5,301.07867431640625,0.0699610784649849,0.06523296236991882,0.00472811097279191,290814.875,3.808571664296313e+18,3.808571664296313e+18,0.0015769470483064651,295719.875,0.7439466714859009,295719.125
6,299.7127380371094,0.04321634769439697,0.04029565304517746,0.002920697443187237,290630.28125,4.536313946587529e+18,4.536313946587529e+18,0.0015627930406481028,238527.171875,0.7427070140838623,238526.421875
7,299.09979248046875,0.04952026158571243,0.04617355018854141,0.0033467134926468134,290450.15625,4.153301819830829e+18,4.153301819830829e+18,0.0015354558127000928,202032.484375,0.7410109639167786,202031.75
8,296.4403076171875,0.05561840534210205,0.05185956880450249,0.0037588400300592184,290278.46875,3.358606426233635e+18,3.358606426233635e+18,0.0014973713550716639,2231.605224609375,0.7387306094169617,2230.866455078125
9,295.864013671875,0.04941011965274811,0.04607084393501282,0.0033392810728400946,290115.78125,2.5701807228159263e+18,2.5701807228159263e+18,0.0014636843698099256,70751.1015625,0.7364950776100159,70750.3671875
10,296.14031982421875,0.03755192086100578,0.035014040768146515,0.0025378772988915443,289961.9375,1.9041501799010796e+18,1.9041501799010796e+18,0.0014332934515550733,239665.234375,0.7342678308486938,239664.5
11,293.0667419433594,0.027884913608431816,0.0260003674775362,0.0018845442682504654,289814.40625,1.4218342860922552e+18,1.4218342860922552e+18,0.0014075635699555278,43620.83203125,0.7320268154144287,43620.1015625
12,291.9837646484375,0.021024124696850777,0.019603267312049866,0.001420854590833187,289669.46875,1.1253197770200187e+18,1.1253197770200187e+18,0.0013897980097681284,13774.7705078125,0.7298100590705872,13774.041015625
13,291.3511657714844,0.018656054511666298,0.0173952654004097,0.0012607888784259558,289524.34375,8.783913869346079e+17,8.783913869346079e+17,0.001376820495352149,1562.54052734375,0.7275096774101257,1561.81298828125
14,291.4996643066406,0.02027828060090542,0.018907882273197174,0.0013703969307243824,289377.09375,7.011626882013594e+17,7.011626882013594e+17,0.001365250675007701,40746.51953125,0.725111186504364,40745.79296875
15,291.0295104980469,0.02284874953329563,0.021304652094841003,0.0015440979041159153,289227.71875,6.560369442910372e+17,6.560369442910372e+17,0.001352629973553121,331.5819396972656,0.7225912809371948,330.8593444824219
16,290.9780578613281,0.02284175343811512,0.021298129111528397,0.0015436235116794705,289075.78125,6.368284074343137e+17,6.368284074343137e+17,0.001340338378213346,12331.3466796875,0.7202776074409485,12330.6259765625
17,290.4531555175781,0.019105222076177597,0.01781410165131092,0.0012911224039271474,288922.0625,5.403471210904289e+17,5.403471210904289e+17,0.0013288580812513828,3546.565185546875,0.7182928919792175,3545.846923828125
18,290.20745849609375,0.014450017362833023,0.01347346231341362,0.0009765558643266559,288767.625,4.723132242140856e+17,4.723132242140856e+17,0.0013169419253244996,24499.2890625,0.7164756059646606,24498.572265625
19,289.7364501953125,0.01284464355558157,0.011976542882621288,0.0008680997998453677,288613.6875,4.792563996253225e+17,4.792563996253225e+17,0.0013033790746703744,126.51322937011719,0.7145703434944153,125.79866027832031
20,289.6755065917969,0.013176066800951958,0.012285549193620682,0.0008905190043151379,288460.59375,4.44604088085119e+17,4.44604088085119e+17,0.001288208062760532,11149.4794921875,0.7125366926193237,11148.7666015625
21,289.34942626953125,0.013475243002176285,0.012564502656459808,0.0009107397054322064,288309.0,3.133568281865093e+17,3.133568281865093e+17,0.001271878252737224,5326.9208984375,0.7104130387306213,5326.21044921875
22,289.2503356933594,0.014696285128593445,0.01370303239673376,0.0009932509856298566,288160.0625,2.4820531822225e+17,2.4820531822225e+17,0.001254359376616776,10726.234375,0.7081637978553772,10725.5263671875
23,289.11212158203125,0.016044920310378075,0.01496053021401167,0.001084390445612371,288014.34375,2.3831653398033203e+17,2.3831653398033203e+17,0.0012368385214358568,5723.35546875,0.7059375643730164,5722.6494140625
24,288.8382873535156,0.01485749427229166,0.013853346928954124,0.0010041464120149612,287871.1875,1.9569542601847603e+17,1.9569542601847603e+17,0.0012210452696308494,2845.964599609375,0.7039495706558228,2845.2607421875
25,288.5983581542969,0.01251860149204731,0.01167251542210579,0.0008460867684334517,287730.5625,1.5207783410434048e+17,1.5207783410434048e+17,0.0012064812472090125,8979.5185546875,0.7021058201789856,8978.81640625
26,288.3521423339844,0.01185915432870388,0.011057630181312561,0.0008015249622985721,287592.375,1.3997067348423475e+17,1.3997067348423475e+17,0.0011926493607461452,2683.647216796875,0.700262725353241,2682.947021484375
27,288.2533264160156,0.012157461605966091,0.011335782706737518,0.0008216793066821992,287455.5,1.3868111814354534e+17,1.3868111814354534e+17,0.001178744831122458,5125.57861328125,0.6982945203781128,5124.88037109375
28,288.0409240722656,0.011748751625418663,0.010954713448882103,0.0007940378854982555,287318.875,1.278262754976727e+17,1.278262754976727e+17,0.001164323533885181,677.2208862304688,0.6961607336997986,676.5247192382812
29,287.9688415527344,0.012118564918637276,0.011299559846520424,0.0008190051885321736,287181.9375,1.2043966189299302e+17,1.2043966189299302e+17,0.0011508530005812645,6050.69921875,0.6940397620201111,6050.00537109375
30,287.7562561035156,0.011770959012210369,0.010975451208651066,0.0007955054170452058,287044.5,1.1870959752655667e+17,1.1870959752655667e+17,0.0011404387187212706,444.5165100097656,0.692241370677948,443.82427978515625
31,287.6189880371094,0.010778372175991535,0.010049943812191486,0.0007284300518222153,286906.3125,1.158811210439721e+17,1.158811210439721e+17,0.0011312068672850728,5790.6083984375,0.6906301975250244,5789.91796875
32,287.404296875,0.010394453071057796,0.009691959246993065,0.0007024940568953753,286767.5,1.0549425803467162e+17,1.0549425803467162e+17,0.0011216307757422328,1155.5982666015625,0.6890159845352173,1154.9093017578125
33,287.3058166503906,0.010607410222291946,0.009890512563288212,0.0007168988231569529,286628.1875,9.830033384275968e+16,9.830033384275968e+16,0.0011117089306935668,4894.048828125,0.6873401999473572,4893.361328125
34,287.1343688964844,0.01079632993787527,0.010066649876534939,0.0007296784897334874,286488.625,9.447229821131162e+16,9.447229821131162e+16,0.001101205125451088,1140.5848388671875,0.6855618357658386,1139.8992919921875
35,286.9917907714844,0.010517519898712635,0.00980667769908905,0.000710842723492533,286348.5,8.90215638058926e+16,8.90215638058926e+16,0.0010894372826442122,2837.028564453125,0.6835948824882507,2836.344970703125
36,286.810791015625,0.01004071906208992,0.00936210062354803,0.0006786199519410729,286207.4375,8.13480807455785e+16,8.13480807455785e+16,0.0010760945733636618,1993.2703857421875,0.6814602613449097,1992.5888671875
37,286.61834716796875,0.009236154146492481,0.008611905388534069,0.0006242493400350213,286064.90625,7.800646734027162e+16,7.800646734027162e+16,0.0010610050521790981,1361.02197265625,0.6792610287666321,1360.3426513671875
38,286.46673583984375,0.008920596912503242,0.008317673578858376,0.0006029242649674416,285919.875,7.667605827066266e+16,7.667605827066266e+16,0.001045907149091363,2410.993896484375,0.6770179271697998,2410.31689453125
